"lastword","KNP","lambda"
"203","part",0.000442627011617944,0.130040322580645
"266","set",0.000442627011617944,0.301546391752577
"272","police",0.000442627011617944,0.369109947643979
"385","d",0.000442627011617944,0.330223880597015
"157","always",0.00043856621334622,0.448699421965318
"199","looking",0.00043856621334622,0.123493975903614
"425","w",0.00043856621334622,0.560975609756098
"238","free",0.000434505415074495,0.498820754716981
"258","enough",0.000434505415074495,0.275125628140704
"264","makes",0.000434505415074495,0.228426395939086
"201","yes",0.000430444616802771,0.316265060240964
"239","public",0.000430444616802771,0.452830188679245
"269","call",0.000430444616802771,0.283678756476684
"260","music",0.000426383818531047,0.450757575757576
"213","might",0.000418262221987598,0.260460251046025
"224","everyone",0.000418262221987598,0.356666666666667
"337","together",0.000418262221987598,0.332214765100671
"145","night",0.000414201423715874,0.317829457364341
"169","happy",0.000414201423715874,0.259615384615385
"222","play",0.000414201423715874,0.424778761061947
"215","put",0.00041014062544415,0.217948717948718
"192","getting",0.000402019028900701,0.382239382239382
"228","having",0.000402019028900701,0.324324324324324
"278","money",0.000402019028900701,0.360655737704918
"67","been",0.000397958230628977,0.400568181818182
"164","world",0.000393897432357253,0.35659509202454
"180","thing",0.000393897432357253,0.267857142857143
"219","thank",0.000393897432357253,0.0487012987012987
"75","know",0.000389836634085529,0.160025706940874
"150","best",0.000389836634085529,0.449186991869919
"285","check",0.000389836634085529,0.206460674157303
"431","according",0.000389836634085529,0.0189075630252101
"190","days",0.000385775835813804,0.294943820224719
"229","friends",0.000385775835813804,0.364678899082569
"254","million",0.000385775835813804,0.375
"223","done",0.00038171503754208,0.33
"226","book",0.00038171503754208,0.411830357142857
"253","god",0.00038171503754208,0.376847290640394
"271","theres",0.00038171503754208,0.213730569948187
"306","early",0.00038171503754208,0.395705521472393
"314","everything",0.00038171503754208,0.322784810126582
"176","follow",0.000377654239270356,0.238983050847458
"256","s",0.000377654239270356,0.495
"293","four",0.000377654239270356,0.469298245614035
"184","use",0.000373593440998632,0.323741007194245
"236","percent",0.000373593440998632,0.299295774647887
"257","took",0.000373593440998632,0.31125
"295","later",0.000373593440998632,0.346153846153846
"89","think",0.000369532642726907,0.190420560747664
"188","long",0.000369532642726907,0.351818181818182
"352","party",0.000369532642726907,0.486206896551724
"200","old",0.000361411046183459,0.490963855421687
"233","times",0.000361411046183459,0.324418604651163
"265","real",0.000361411046183459,0.526923076923077
